id,name,business_type,type,address,location,pname,cityname,adname,tel,business_area,rating,cost,longitude,latitude
B0I3ZSVY0V,CHAGEE霸王茶姬(江西赣州经开万达广场店),奶茶店,餐饮服务;冷饮店;冷饮店,赣州经济技术开发区金陵大道18号万达广场步行街一楼105金岭大道1051号商铺,"114.900003,25.840627",江西省,赣州市,章贡区,4008788359,[],4.4,19.00,114.900003,25.840627
B0JRRRUUWW,喜茶(赣州招商花园城店),奶茶店,餐饮服务;冷饮店;冷饮店,长征大道1号招商花园城L116商铺,"114.935975,25.835775",江西省,赣州市,章贡区,17770700673,瑞金路,4.4,13.00,114.935975,25.835775
B0FFKIW0X8,CoCo都可(万象城2店),奶茶店,餐饮服务;冷饮店;冷饮店,新赣州大道8号华润中心幸福汇B栋110商铺,"114.926944,25.815720",江西省,赣州市,章贡区,19179082545,[],4.3,15.00,114.926944,25.81572
B0LA9HVKCC,煲珠公.老红糖珍珠奶茶(赣州万象城店),奶茶店,餐饮服务;冷饮店;冷饮店,新赣州大道8号华润中心万象城L5-M3商铺,"114.926125,25.815175",江西省,赣州市,章贡区,[],[],4.3,12.00,114.926125,25.815175
B0H0M1NR73,茶百道(赣州赣三中店),奶茶店,餐饮服务;冷饮店;冷饮店,青年路21号-4(赣三中正对面),"114.939133,25.854347",江西省,赣州市,章贡区,19379720118,文清路,4.4,14.00,114.939133,25.854347
B0K2H5L5DR,1点点(赣州万象城店),奶茶店,餐饮服务;休闲餐饮场所;休闲餐饮场所|餐饮服务;冷饮店;冷饮店,华润中心B1-10号幸福汇商铺,"114.927119,25.815535",江西省,赣州市,章贡区,0797-8188106,[],4.5,13.00,114.927119,25.815535
B0JDZZA6HF,CHAGEE霸王茶姬(赣州大学城店),奶茶店,餐饮服务;冷饮店;冷饮店,105国道赣南大学城文化广场1F,"114.891721,25.798229",江西省,赣州市,章贡区,17879900362,[],4.7,14.00,114.891721,25.798229
B0JDBUH3OH,喜茶(赣州经开万达广场店),奶茶店,餐饮服务;冷饮店;冷饮店,金岭大道18号赣州经开万达广场1楼1005B,"114.900467,25.840602",江西省,赣州市,章贡区,18370753580,[],4.5,14.00,114.900467,25.840602
B0JK7HP4YM,LELECHA乐乐茶(赣州万象城店),奶茶店,餐饮服务;餐饮相关场所;餐饮相关,新赣州大道8号万象城购物中心赣州店L1层,"114.926777,25.814730",江西省,赣州市,章贡区,18179089559,[],4.5,14.00,114.926777,25.81473
B0HDRSTMVF,蜜雪冰城(赣州万象城店),奶茶店,餐饮服务;冷饮店;冷饮店,华润中心B2区幸福汇商业B座万象城B门B-11号,"114.926964,25.815727",江西省,赣州市,章贡区,[],[],4.7,5.00,114.926964,25.815727
B0G3D733T6,沪上阿姨·精选茶饮(赣州步步高新天地店),奶茶店,餐饮服务;冷饮店;冷饮店,红旗大道33号步步高新天地8002A沪上阿姨,"114.940731,25.848561",江西省,赣州市,章贡区,17870197698,营角上,4.4,12.00,114.940731,25.848561
B0H6OMS6RC,茶百道(赣州九方店),奶茶店,餐饮服务;冷饮店;冷饮店,翠微路1号中航城3栋1-1022店面,"114.937425,25.835936",江西省,赣州市,章贡区,19170470825,瑞金路,4.5,15.00,114.937425,25.835936
B0JUG9MIJR,CHAGEE霸王茶姬(第五大道美食街店),奶茶店,餐饮服务;冷饮店;冷饮店,第五大道二期第5街2栋1层33号-2号商铺,"114.926399,25.818903",江西省,赣州市,章贡区,19142173998,[],4.6,16.00,114.926399,25.818903
B0J6BR3JIO,古茗(赣州郁孤台店),奶茶店,餐饮服务;冷饮店;冷饮店,西津路1号建国路住宅小区A1栋7号8号店铺,"114.939391,25.864132",江西省,赣州市,章贡区,18720855669,[],4.6,12.00,114.939391,25.864132
B0K0ALNWEG,奈雪的茶(赣州润达南门Q-PARK店),奶茶店,餐饮服务;冷饮店;冷饮店,南门广场润达南门Q-park1-26.27号铺,"114.938270,25.848194",江西省,赣州市,章贡区,13879750102,营角上,4.2,18.00,114.93827,25.848194
B0LAJRUVYB,洪都大拇指(赣州万象城店),奶茶店,餐饮服务;冷饮店;冷饮店|餐饮服务;快餐厅;快餐厅,新赣州大道8号华润中心幸福汇商业A座124号幸福汇商铺,"114.926563,25.815885",江西省,赣州市,章贡区,18579717378,[],4.5,14.00,114.926563,25.815885
B0L6P67XM8,茉酸奶(君尚购物中心赣州店),奶茶店,餐饮服务;冷饮店;冷饮店,君尚购物中心负一楼中岛B1041铺,"114.932725,25.816750",江西省,赣州市,章贡区,19144492678,[],4.0,17.00,114.932725,25.81675
B0I2N1OAKL,茶百道(赣州大学店),奶茶店,餐饮服务;冷饮店;冷饮店,赣州蓉江新区高校园区赣南大学文化广场7号楼一层110-111号商铺,"114.893349,25.798180",江西省,赣州市,章贡区,13956603555,[],4.4,13.00,114.893349,25.79818
B0JDZZ2RZI,CHAGEE霸王茶姬(九方店),奶茶店,餐饮服务;冷饮店;冷饮店,[],"114.935399,25.836131",江西省,赣州市,章贡区,19136727259,瑞金路,4.5,18.00,114.935399,25.836131
B0HUAU794M,古茗(赣州章贡中联店),奶茶店,餐饮服务;餐饮相关场所;餐饮相关,中联商城M栋10号,"114.940751,25.852158",江西省,赣州市,章贡区,18370705157,文清路,4.0,16.00,114.940751,25.852158
B0JKRC2DI2,闻香婆婆老红糖珍珠鲜奶(赣州万盛店),奶茶店,餐饮服务;冷饮店;冷饮店,宁都路16-10号,"114.939360,25.825069",江西省,赣州市,章贡区,15012640609,[],4.1,14.00,114.93936,25.825069
B0L6U92LAX,洪都大拇指(赣州中联商城店),奶茶店,餐饮服务;快餐厅;快餐厅,赣江街道文清路8号中联商城F栋1楼,"114.941667,25.852191",江西省,赣州市,章贡区,13750046248,红旗大道,4.7,13.00,114.941667,25.852191
B0KBB1ORES,CHAGEE霸王茶姬(江西赣州达芬奇店),奶茶店,餐饮服务;冷饮店;冷饮店,长冈路13-25正,"114.930009,25.824176",江西省,赣州市,章贡区,19324873913,[],4.7,20.00,114.930009,25.824176
B0IU5ATY8J,古茗(章贡绵江路中央城),奶茶店,餐饮服务;冷饮店;冷饮店,绵江路馨安家园3栋5号,"114.914537,25.813676",江西省,赣州市,章贡区,18325305300;19079707688,[],4.3,16.00,114.914537,25.813676
B0IA67DDB4,蜜雪冰城(鸿泰花园店),奶茶店,餐饮服务;冷饮店;冷饮店,三百山路9号鸿泰花园,"114.930096,25.813116",江西省,赣州市,章贡区,13317979866;19870722879,[],4.7,9.00,114.930096,25.813116
B0LRDR70RD,洪都大拇指(巨亿万达店),奶茶店,餐饮服务;快餐厅;快餐厅,八一四大道39号巨亿赣南电商城一期、东区地下室超市B1-C13A,"114.957756,25.832808",江西省,赣州市,章贡区,18518181389,八一四大道,4.4,15.00,114.957756,25.832808
B0J22MTMG6,上岸Ashore(咖啡·酒吧·奶茶·轻食),奶茶店,体育休闲服务;娱乐场所;酒吧,水东镇玉虚观浮桥头25号附1号店面,"114.952397,25.865518",江西省,赣州市,章贡区,19136914638,[],4.4,21.00,114.952397,25.865518
B0JUXCXI1M,茶百道(西城广场店),奶茶店,餐饮服务;冷饮店;冷饮店,章贡区经济技术开发区杨坑公寓返迁房1号楼2号店面,"114.860804,25.843684",江西省,赣州市,章贡区,19144485886,[],4.4,12.00,114.860804,25.843684
B0L6K1R21L,CHAGEE霸王茶姬(江西赣州君尚购物中心店),奶茶店,餐饮服务;冷饮店;冷饮店,君尚购物中心赣州店1层1017号,"114.933265,25.817530",江西省,赣州市,章贡区,[],[],4.5,15.00,114.933265,25.81753
B0LRD55C3Q,古茗(赣州一中店),奶茶店,餐饮服务;冷饮店;冷饮店,东外街道厚德路赣48-12(赣一中对面),"114.948898,25.854521",江西省,赣州市,章贡区,13576669867,红旗大道,4.4,16.00,114.948898,25.854521
B0FFKXUU6O,CoCo都可(大学城店),奶茶店,餐饮服务;冷饮店;冷饮店,蓉江二路与创新二路交汇处东南侧赣南大学城文化广场4栋211-212号商铺,"114.892485,25.798071",江西省,赣州市,章贡区,19136709525,[],4.2,12.00,114.892485,25.798071
B0LD3RKPIX,洪都大拇指(赣州经开万达店),奶茶店,餐饮服务;冷饮店;冷饮店,金岭大道18号1-A-0002,"114.899874,25.840646",江西省,赣州市,章贡区,15879736887,[],4.3,14.00,114.899874,25.840646
B0LATD1F2F,库迪咖啡便利店(赣州招商局中心店),奶茶店,餐饮服务;咖啡厅;咖啡厅,橙乡大道50号招商局中心裙楼A-L1010商业,"114.913926,25.809279",江西省,赣州市,章贡区,17679300926,[],4.3,8.00,114.913926,25.809279
B0KKBDEEXZ,茶百道(赣州君尚购物中心店),奶茶店,餐饮服务;冷饮店;冷饮店,新赣州大道5号水游城X公域S-3号楼1-68号商业,"114.933508,25.816032",江西省,赣州市,章贡区,13767747769;15970146652,[],4.2,17.00,114.933508,25.816032
B0KKDU5M0F,CHAGEE霸王茶姬(江西赣州步步高新天地店),奶茶店,餐饮服务;冷饮店;冷饮店,步步高新天地1层,"114.941230,25.848862",江西省,赣州市,章贡区,4008788359,红旗大道,4.7,18.00,114.94123,25.848862
B0L6XH2KMJ,古茗(赣州第五大道店),奶茶店,餐饮服务;冷饮店;冷饮店,水南街道琴江路6号第五大道2期美食街广场古茗奶茶,"114.926513,25.818940",江西省,赣州市,章贡区,18579705551,[],4.2,11.00,114.926513,25.81894
B0I2Y5UAR8,蜜雪冰城(沙河店),奶茶店,餐饮服务;冷饮店;冷饮店,沙河镇沙河站东大道48号,"114.970103,25.824774",江西省,赣州市,章贡区,19870722859,沙河,4.4,9.00,114.970103,25.824774
B0LRL7O8Z0,1点点(第五大道美食街店),奶茶店,餐饮服务;冷饮店;冷饮店,第五大道二期第五街2栋1层28,"114.926775,25.818975",江西省,赣州市,章贡区,0797-8266018,[],4.1,12.00,114.926775,25.818975
B0JR6URWWR,库迪咖啡(赣州华润大厦C座店),奶茶店,餐饮服务;咖啡厅;咖啡厅,三百山路华润大厦C座1号铺(地下停车场入口西北侧),"114.927988,25.815659",江西省,赣州市,章贡区,15007080429,[],4.2,10.00,114.927988,25.815659
B0K1670V16,茶理宜世(赣州万象城店),奶茶店,餐饮服务;冷饮店;冷饮店,新赣州大道8号赣州万象城B1,"114.925140,25.816183",江西省,赣州市,章贡区,15179060102,[],4.5,19.00,114.92514,25.816183
B0LDM54RUN,CHAGEE霸王茶姬(赣州万象城主题店),奶茶店,餐饮服务;冷饮店;冷饮店,新赣州大道8号万象城1层L159号铺,"114.926875,25.814279",江西省,赣州市,章贡区,19079811988,[],4.5,19.00,114.926875,25.814279
B0LU3DAAYR,古茗(赣州金色春城店),奶茶店,餐饮服务;冷饮店;冷饮店,赣州蓉江新区高校园区金色春城075号,"114.883302,25.784882",江西省,赣州市,章贡区,15970082198,[],4.5,15.00,114.883302,25.784882
B0H1M7XUAR,蜜雪冰城(赣南大学城文化广场店),奶茶店,餐饮服务;冷饮店;冷饮店,赣州蓉江新区高校园区大学文化广场5栋104-105号,"114.894008,25.798265",江西省,赣州市,章贡区,15637660292,[],4.1,[],114.894008,25.798265
B0KAHDUCKT,益禾堂(赣州万达金街店),奶茶店,餐饮服务;冷饮店;冷饮店,金坪东路与大坪路交叉口东南180米,"114.900707,25.841881",江西省,赣州市,章贡区,15727765129,[],4.5,13.00,114.900707,25.841881
B0JDODCO9P,库迪咖啡(赣州国际企业中心店),奶茶店,餐饮服务;咖啡厅;咖啡厅,华昌路9号国际企业中心5号楼1层底商,"114.895905,25.860045",江西省,赣州市,章贡区,18870765443,[],4.5,10.00,114.895905,25.860045
B0I2FROUVR,沪上阿姨·精选茶饮(赣州嘉福万达金街店),奶茶店,餐饮服务;冷饮店;冷饮店,金开区嘉福万达广场金街沪上阿姨,"114.899736,25.841057",江西省,赣州市,章贡区,13970700075,[],4.4,13.00,114.899736,25.841057
B0IRTRF5XV,古茗(赣州经开万达店),奶茶店,餐饮服务;冷饮店;冷饮店,章贡区经开区东江源大道与金岭东大道交汇处赣州经开万达3楼3012,"114.900833,25.841160",江西省,赣州市,章贡区,19970749118,[],4.3,16.00,114.900833,25.84116
B0I2HM0T7B,蜜雪冰城(招商花园城店),奶茶店,餐饮服务;冷饮店;冷饮店,九方购物中心南门东北70米,"114.937063,25.835453",江西省,赣州市,章贡区,15103502420;19079714648,瑞金路,4.6,10.00,114.937063,25.835453
B0LROZVOCL,茶百道(赣州巨亿万达广场店),奶茶店,餐饮服务;冷饮店;冷饮店,八一四大道巨亿万达广场3楼3026铺,"114.957814,25.832291",江西省,赣州市,章贡区,18070475900,八一四大道,4.5,13.00,114.957814,25.832291
B0JUOM35GK,库迪咖啡(赣州漫乐城店),奶茶店,餐饮服务;咖啡厅;咖啡厅,张家围路58号漫乐城广场一期1层52号底商,"114.950992,25.840752",江西省,赣州市,章贡区,19070753025,[],4.3,10.00,114.950992,25.840752
B0JU6UZKID,益禾堂(赣州章贡区宝能城店),奶茶店,餐饮服务;冷饮店;冷饮店,安远路9号宝能世纪城东区9-78号,"114.944853,25.821786",江西省,赣州市,章贡区,19870729378,[],4.4,14.00,114.944853,25.821786
B0KRKUE5BH,沪上阿姨·精选茶饮(赣州水游城店),奶茶店,餐饮服务;冷饮店;冷饮店,新赣州大道5号水游城X公域S-3号楼1-12号商业,"114.933185,25.815508",江西省,赣州市,章贡区,18270786214,[],4.3,14.00,114.933185,25.815508
B0IA5MBOXR,古茗(赣州潭口店),奶茶店,餐饮服务;冷饮店;冷饮店,潭口镇广场南路101号,"114.849135,25.741313",江西省,赣州市,章贡区,18370953329,[],4.5,16.00,114.849135,25.741313
B0H3JR5CMX,蜜雪冰城(宝能城店),奶茶店,餐饮服务;冷饮店;冷饮店,宝能世纪城东区9-89,"114.944865,25.821123",江西省,赣州市,章贡区,18046690621;18279771849,[],4.6,6.00,114.944865,25.821123
B0I6BAG96M,书亦烧仙草(赣州和乐新村店),奶茶店,餐饮服务;冷饮店;冷饮店,东江源大道与枫坪路交叉口西南100米,"114.917480,25.930141",江西省,赣州市,章贡区,18296754300,[],4.3,11.00,114.91748,25.930141
B0LACCL8ZG,库迪咖啡(赣南医科大学黄金西门店),奶茶店,餐饮服务;咖啡厅;咖啡厅,创业路6号,"114.896898,25.774232",江西省,赣州市,章贡区,18317972626,[],4.2,10.00,114.896898,25.774232
B0LA1CBU02,YUUNING·柠记手打柠檬茶(赣州宝能城店),奶茶店,餐饮服务;餐饮相关场所;餐饮相关,安远路9号宝能世纪城东区18-19号楼底层商业11号商铺,"114.947756,25.822254",江西省,赣州市,章贡区,19070435882,[],4.1,17.00,114.947756,25.822254
B0L659R0VK,茉莉奶白(万达广场店),奶茶店,餐饮服务;冷饮店;冷饮店,万达金街1205.1206号店铺,"114.899742,25.840824",江西省,赣州市,章贡区,15579784413,[],4.0,[],114.899742,25.840824
B0LUVDD7EW,古茗(中航云府店),奶茶店,餐饮服务;冷饮店;冷饮店,章贡区经济技术开发区水南路3号云府二期29号楼4号商铺,"114.910951,25.822376",江西省,赣州市,章贡区,13247900920,[],4.5,15.00,114.910951,25.822376
B0FFJ8B3Z9,蜜雪冰城(赣三中店),奶茶店,餐饮服务;冷饮店;冷饮店,青年路12号卡拉多隔壁,"114.935361,25.855319",江西省,赣州市,章贡区,19979747972,环城路,4.5,8.00,114.935361,25.855319
B0HU7AYROC,1点点(中联商城店),奶茶店,餐饮服务;冷饮店;冷饮店,文清路8号中联商城H栋7号店面,"114.941019,25.852294",江西省,赣州市,章贡区,0797-8278008,文清路,4.4,14.00,114.941019,25.852294
B0KU318IF8,闻香婆婆老红糖珍珠鲜奶(环城路店),奶茶店,餐饮服务;餐饮相关场所;餐饮相关,环城路20-2号,"114.935077,25.853819",江西省,赣州市,章贡区,13766399796,理工,4.0,13.00,114.935077,25.853819
B0LRMRZLFL,古茗(赣州君兰半岛店),奶茶店,餐饮服务;冷饮店;冷饮店,湖边镇经开区纬二路君兰半岛108-109号商铺,"114.903665,25.861770",江西省,赣州市,章贡区,13330156088,[],4.4,12.00,114.903665,25.86177
B0HKMRDLBR,古茗(章贡中海国际店),奶茶店,餐饮服务;冷饮店;冷饮店,五指峰路中海国际2栋4号商铺,"114.920757,25.828006",江西省,赣州市,章贡区,15015490815,[],4.3,16.00,114.920757,25.828006
B0LRSA4736,古茗(赣州站店),奶茶店,餐饮服务;冷饮店;冷饮店,五洲大道31号赣州火车站候车层ZT-05号,"114.964502,25.818711",江西省,赣州市,章贡区,13330174220,沙河,4.2,12.00,114.964502,25.818711
B0G1DLJR96,蜜雪冰城(步步高一楼店),奶茶店,餐饮服务;冷饮店;冷饮店,红旗大道步步高新天地一楼1055号,"114.940511,25.849003",江西省,赣州市,章贡区,15515565349,营角上,4.4,7.00,114.940511,25.849003
B0H0LDF615,1点点(九方步行街店),奶茶店,餐饮服务;甜品店;甜品店,长征大道1号赣州招商花园城F1层,"114.936719,25.835462",江西省,赣州市,章贡区,0797-8318008,瑞金路,4.4,16.00,114.936719,25.835462
B0LRSH4G84,古茗(赣南科技学院店),奶茶店,餐饮服务;冷饮店;冷饮店,赣南科技学院校内食堂边,"114.915444,25.839877",江西省,赣州市,章贡区,19170451688,客家大道,4.4,11.00,114.915444,25.839877
B0IK2UHGPZ,古茗(章贡和信广场店),奶茶店,餐饮服务;冷饮店;冷饮店,赣州经济技术开发区金凤东路15号和信广场ABCD栋117店铺,"114.907721,25.851468",江西省,赣州市,章贡区,19079777345,金东路,4.5,16.00,114.907721,25.851468
B0LU17FZHF,古茗(巨亿万达店),奶茶店,餐饮服务;冷饮店;冷饮店,八一四大道39号赣州巨亿万达广场3楼3012铺,"114.957434,25.832154",江西省,赣州市,章贡区,[],八一四大道,4.2,14.00,114.957434,25.832154
B0FFISDI6N,古茗(章贡青年路店),奶茶店,餐饮服务;冷饮店;冷饮店,青年路21-10号,"114.934413,25.855568",江西省,赣州市,章贡区,13979887116;17370730810,环城路,4.2,16.00,114.934413,25.855568
B0I1TZ8LR8,蜜雪冰城(西桥路店),奶茶店,餐饮服务;冷饮店;冷饮店,西桥路与西郊路交叉口西20米,"114.924337,25.854229",江西省,赣州市,章贡区,13617978830;15870016692,理工,4.4,11.00,114.924337,25.854229
B0L6FHELAJ,古茗(君尚购物中心店),奶茶店,餐饮服务;冷饮店;冷饮店,赣南高架路辅路3号靠近赣州君尚购物中心,"114.932271,25.816623",江西省,赣州市,章贡区,18255579707,[],4.0,13.00,114.932271,25.816623
B0H0YZGAA6,古茗(章贡万盛商场店),奶茶店,餐饮服务;冷饮店;冷饮店,兴国路9号万盛购物中心L1-023C铺,"114.939875,25.827075",江西省,赣州市,章贡区,19379959011,[],4.5,16.00,114.939875,25.827075
B0HKGRH203,古茗(赣州步步高新天地店),奶茶店,餐饮服务;休闲餐饮场所;休闲餐饮场所,红旗大道33号步步高·新天地 赣州店F7层,"114.940604,25.848587",江西省,赣州市,章贡区,17779728711;4000666577,文明大道,4.3,16.00,114.940604,25.848587
B0H2F9LK63,古茗(章贡美地亚·天骏店),奶茶店,餐饮服务;冷饮店;冷饮店,章江新区三百山路16-46,"114.929648,25.812744",江西省,赣州市,章贡区,19870327718,[],4.5,16.00,114.929648,25.812744
B0IDPAPPRX,古茗(赣州西城广场店),奶茶店,餐饮服务;冷饮店;冷饮店,西城广场1号楼5号店友邦大药房旁边,"114.860794,25.843593",江西省,赣州市,章贡区,17770770618;19323820322,[],4.3,16.00,114.860794,25.843593
B0I21LR96H,蜜雪冰城(渔湾里),奶茶店,餐饮服务;冷饮店;冷饮店,南外街塘窝里107号,"114.927492,25.846216",江西省,赣州市,章贡区,17846569318;18520663060,文明大道,4.6,8.00,114.927492,25.846216
B0G1R50KKQ,古茗(赣州宝能城店),奶茶店,餐饮服务;冷饮店;冷饮店,宝能城东区商业街9-10号楼11号铺,"114.944950,25.820981",江西省,赣州市,章贡区,19196762131,[],4.2,16.00,114.94495,25.820981
B0I217NA9X,古茗(翠谷康居店),奶茶店,餐饮服务;冷饮店;冷饮店,翠谷康居10幢27-28商铺,"114.901675,25.866975",江西省,赣州市,章贡区,19179780118,[],4.5,16.00,114.901675,25.866975
B0I1XSO9DO,蜜雪冰城(潭口店),奶茶店,餐饮服务;冷饮店;冷饮店,广场南路9697号,"114.849594,25.741505",江西省,赣州市,章贡区,17679373550,[],4.5,7.00,114.849594,25.741505
B0LB2LRK8B,古茗(赣州沙石店),奶茶店,餐饮服务;冷饮店;冷饮店,峰山大道古茗沙石店,"114.941650,25.781880",江西省,赣州市,章贡区,13330156088,[],4.5,[],114.94165,25.78188
B0IUUMMGA1,蜜雪冰城(翠谷康居社区店),奶茶店,餐饮服务;冷饮店;冷饮店,赣州经济技术开发区湖边镇翠谷康居10号楼29号商铺,"114.901480,25.866954",江西省,赣州市,章贡区,15970959776,[],4.5,9.00,114.90148,25.866954
B0LULR8NRM,古茗(赣港康居店),奶茶店,餐饮服务;冷饮店;冷饮店,经济技术开发区赣港康居2-02-3商铺,"114.873461,25.869548",江西省,赣州市,章贡区,18679677872,[],4.3,[],114.873461,25.869548
B0LAADGYGZ,幸运咖(环城路店),奶茶店,餐饮服务;咖啡厅;咖啡厅,青年路15号(原19号)保育院教学楼综合楼一层店面15-31店面,"114.935573,25.854588",江西省,赣州市,章贡区,18270008032,红旗大道,4.3,8.00,114.935573,25.854588
B0LB2LNO10,古茗(赣州水碓康居店),奶茶店,餐饮服务;冷饮店;冷饮店,金龙路水碓返迁房1排33号,"114.873675,25.851848",江西省,赣州市,章贡区,17770770618,[],4.2,17.00,114.873675,25.851848
B0LU3M8F9X,LINLEE林里.手打柠檬茶(赣州万象城店),奶茶店,餐饮服务;冷饮店;冷饮店,华润万象城b1LB55号商铺,"114.924975,25.816126",江西省,赣州市,章贡区,19047756552,[],4.4,13.00,114.924975,25.816126
B0L6X7TEWA,古茗(湖边店),奶茶店,餐饮服务;冷饮店;冷饮店,湖边镇城中村安置小区2栋5号,"114.915008,25.879712",江西省,赣州市,章贡区,19379948838,[],4.5,15.00,114.915008,25.879712
B0LB27S3U7,蜜雪冰城(文清路店),奶茶店,餐饮服务;休闲餐饮场所;休闲餐饮场所,文清路8号中联商城D栋6号,"114.941564,25.851973",江西省,赣州市,章贡区,19979747972,红旗大道,4.0,10.00,114.941564,25.851973
B0FFIL9BA2,茶巢(赣州达芬奇店),奶茶店,餐饮服务;冷饮店;冷饮店,长岗路13-3达芬国际中心1号楼号商铺,"114.930316,25.823787",江西省,赣州市,章贡区,17346677914;18970734598,[],4.0,13.00,114.930316,25.823787
B0FFJIG10X,益禾堂(赣南师范校内店),奶茶店,餐饮服务;冷饮店;冷饮店,赣南师范学院黄金校区商务中心二楼,"114.887205,25.797015",江西省,赣州市,章贡区,15779781197,[],4.4,12.00,114.887205,25.797015
B0JR6KBAWF,蜜雪冰城(黄金时代店),奶茶店,餐饮服务;冷饮店;冷饮店,梅州路11号黄金时代C区38栋2-3号,"114.928840,25.832018",江西省,赣州市,章贡区,13698062773;18278043662,[],4.2,9.00,114.92884,25.832018
B0J225WZP9,古茗(章贡永康锦园店),奶茶店,餐饮服务;餐饮相关场所;餐饮相关,黄屋坪路26-5号,"114.946498,25.841257",江西省,赣州市,章贡区,19970787270,文明大道,4.5,16.00,114.946498,25.841257
B0IU57ZPIK,蜜雪冰城(中海店),奶茶店,餐饮服务;冷饮店;冷饮店,五指峰路19号赣州中海国际社区锦园B16地块商业区15商铺,"114.921744,25.828140",江西省,赣州市,章贡区,19179794003,[],4.3,8.00,114.921744,25.82814
B0G2CH7GEV,古茗(章贡沙河大道店),奶茶店,餐饮服务;冷饮店;冷饮店,沙河镇沙河大道46号,"114.970287,25.824797",江西省,赣州市,章贡区,17307076008,沙河,4.5,15.00,114.970287,25.824797
B0JBOZOHSC,蜜雪冰城(南桥新村店),奶茶店,餐饮服务;冷饮店;冷饮店,南桥新村西二区北区北2号门东90米,"114.944765,25.825111",江西省,赣州市,章贡区,18107977587,瑞金路,4.5,10.00,114.944765,25.825111
B0JUANJUOM,CoCo都可(经开万达店),奶茶店,餐饮服务;冷饮店;冷饮店,赣州经济技术开发区金岭大道18号万达广场3楼321点位,"114.901097,25.841057",江西省,赣州市,章贡区,17746679525,[],4.0,12.00,114.901097,25.841057
